path,size_mb,n_cols,tune,has_ign,has_airmass,has_cams,has_vls,has_pedal,sha256,status,reason,n_unique_samples
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20211109_EQTS2_4Gear.csv,0.133,47,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,7b0a7c238db4322c8aaa6947b4fee0159354ba9924c007fe123c9e06af4fc05a,INCLUDED,"full channel set, unique content, target tune",645
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20220522_EQTS2_3Gear1.csv,0.113,47,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,547e67656759d303a1e5c2035f0cf6399df33446ef2b92ec994d93dd313b1101,INCLUDED,"full channel set, unique content, target tune",553
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20220522_EQTS2_3Gear2.csv,0.08,47,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,98c72f4aa887d0bb4c2d3a45cdf35c530f2033c827b2f972bc3695a1e28111f9,INCLUDED,"full channel set, unique content, target tune",385
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20220830_EQTS2_1.csv,0.94,47,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,f9af5a1f2c304a53ae02c3e93b60e2b48e0760d102657b51cb20091ff212e300,INCLUDED,"full channel set, unique content, target tune",4657
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20220830_EQTS2_2.csv,0.175,47,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,8fb9418b34c99aa62a022256ab7d25fe07e9ab454fb51a302c6396f6d53049da,INCLUDED,"full channel set, unique content, target tune",859
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20220830_EQTS2_3.csv,0.339,47,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,d09408f4537e55887e00fc12d96c47f824bc8e2d49fc48418aaa76c398086990,INCLUDED,"full channel set, unique content, target tune",1658
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20220830_EQTS2_4.csv,0.177,47,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,25b66f28a46158cc370ee25475436e8231f6ae19a531d316452e2ef855152189,INCLUDED,"full channel set, unique content, target tune",874
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20240326 DSG Testing/datalog2.csv,0.422,25,Stage0 v302,False,False,False,False,False,,EXCLUDED,missing channel(s): Engine Speed (RPM); Ignition Table Output (Degrees); Air Mass IM Per Stroke (mg/stk); Intake Cam Position (Degrees); Exhaust Cam Position (Degrees); Valve Lift State  (-); Accel Pedal Position (%),
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20240326 DSG Testing/datalog3.csv,0.258,25,Stage0 v302,False,False,False,False,False,,EXCLUDED,missing channel(s): Engine Speed (RPM); Ignition Table Output (Degrees); Air Mass IM Per Stroke (mg/stk); Intake Cam Position (Degrees); Exhaust Cam Position (Degrees); Valve Lift State  (-); Accel Pedal Position (%),
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20240326 DSG Testing/datalog4.csv,0.086,25,Stage0 v302,False,False,False,False,False,,EXCLUDED,missing channel(s): Engine Speed (RPM); Ignition Table Output (Degrees); Air Mass IM Per Stroke (mg/stk); Intake Cam Position (Degrees); Exhaust Cam Position (Degrees); Valve Lift State  (-); Accel Pedal Position (%),
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20240326 DSG Testing/datalog5.csv,0.442,25,Stage0 v302,False,False,False,False,False,,EXCLUDED,missing channel(s): Engine Speed (RPM); Ignition Table Output (Degrees); Air Mass IM Per Stroke (mg/stk); Intake Cam Position (Degrees); Exhaust Cam Position (Degrees); Valve Lift State  (-); Accel Pedal Position (%),
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20240328 DSG Testing/datalog6.csv,0.472,32,Stage0 v302,False,False,False,False,False,,EXCLUDED,missing channel(s): Engine Speed (RPM); Ignition Table Output (Degrees); Air Mass IM Per Stroke (mg/stk); Intake Cam Position (Degrees); Exhaust Cam Position (Degrees); Valve Lift State  (-); Accel Pedal Position (%),
/Users/sam/Documents/Cars/GTI/Cobb/Logs/20250920.csv,0.447,41,EQT - Stage 2 91 v2.52 - LC TC,True,False,False,False,True,,EXCLUDED,missing channel(s): Air Mass IM Per Stroke (mg/stk); Intake Cam Position (Degrees); Valve Lift State  (-),
/Users/sam/Documents/Cars/GTI/Cobb/Logs/Track/20220920 Ridge/20220920_Ridge_Session1.csv,5.017,51,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,79fcd516d5cdc0bff6b303abfe160e23cb4206f7042878d8f816ebccbd0ca440,INCLUDED,"full channel set, unique content, target tune",23076
/Users/sam/Documents/Cars/GTI/Cobb/Logs/Track/20220920 Ridge/20220920_Ridge_Session1_Part1.csv,2.507,51,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,9d746148052b3b0eaaafac1899a2e029712b1c51a030ed2bd0a1c541b4c99d6d,EXCLUDED,100.0% of its samples already present in 20220920_Ridge_Session1.csv (split part / re-export of the same recording),11472
/Users/sam/Documents/Cars/GTI/Cobb/Logs/Track/20220920 Ridge/20220920_Ridge_Session1_Part2.csv,2.534,51,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,2064d69b24c3a70695ae84d1a7cdede037b8614f026f9bb74f23be4dbda82dea,EXCLUDED,100.0% of its samples already present in 20220920_Ridge_Session1.csv (split part / re-export of the same recording),11605
/Users/sam/Documents/Cars/GTI/Cobb/Logs/Track/20220920 Ridge/20220920_Ridge_Session2.csv,9.412,51,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,d2efbd9f062dc988d07f69d2d0bdcb2c951516ee241581c0cc8de1a37803e72e,INCLUDED,"full channel set, unique content, target tune",43259
/Users/sam/Documents/Cars/GTI/Cobb/Logs/Track/20220920 Ridge/20220920_Ridge_Session2_Part1.csv,4.708,51,EQT - Stage 2 91 v2.52 - LC TC,True,True,True,True,True,d5e61a5a5998e0786f2fee36f8969f9574c61ed95c267d340a3335d6fd9b9cf2,EXCLUDED,100.0% of its samples already present in 20220920_Ridge_Session2.csv (split part / re-export of the same recording),21558
