,400,700,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
80,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,
400,,,,,,,,-0.7500000000000071,2.624999999999993,3.749999999999993,,,,,,
500,,,,,,,,2.624999999999993,2.999999999999993,4.874999999999993,,,,,,
600,,,,,,,,2.249999999999993,2.624999999999993,2.999999999999993,,,,,,
700,,,,,,,,2.999999999999993,2.624999999999993,2.249999999999993,,,,,,
800,,,,,,,,5.249999999999993,4.874999999999993,2.999999999999993,,,,,,
900,,,,,,,,,4.499999999999993,2.624999999999993,,,,,,
1050,,,,,,,,,2.624999999999993,2.999999999999993,,,,,,
1200,,,,,,,,,2.624999999999993,3.749999999999993,,,,,,
1400,,,,,,,,,0.7499999999999929,0.7499999999999929,1.499999999999993,,,,,
