rpm,airmass,n_samples,logged_median,recovered,error,agrees_within_1_lsb
4000,400,26,19.12,23.25,-4.13,False
3500,500,78,17.62,18.0,-0.38,True
4000,500,110,21.38,22.5,-1.12,False
4500,500,75,19.12,18.75,0.37,True
6000,500,15,18.0,18.0,0.0,True
3500,600,33,14.25,13.875,0.375,True
4000,600,123,17.25,17.625,-0.375,True
4500,600,100,16.5,16.5,0.0,True
5000,600,43,16.12,16.5,-0.38,True
5500,600,22,16.88,16.875,0.005,True
4000,700,84,12.38,12.0,0.38,True
4500,700,101,13.5,13.125,0.375,True
5000,700,63,13.88,13.875,0.005,True
5500,700,43,14.62,14.25,0.37,True
6000,700,17,15.0,14.625,0.375,True
4000,800,98,9.0,9.0,0.0,True
4500,800,96,9.75,9.75,0.0,True
5000,800,40,10.88,10.875,0.005,True
5500,800,43,11.62,11.625,-0.005,True
6000,800,18,12.0,12.375,-0.375,True
6500,800,20,13.5,13.5,0.0,True
4000,900,77,6.38,6.375,0.005,True
4500,900,85,7.88,7.5,0.38,True
5000,900,18,8.62,8.25,0.37,True
5500,900,30,9.38,9.0,0.38,True
6000,900,27,10.12,10.125,-0.005,True
4000,1050,83,3.38,3.375,0.005,True
4500,1050,75,4.5,4.5,0.0,True
5000,1050,46,5.25,5.25,0.0,True
5500,1050,29,6.38,6.375,0.005,True
6000,1050,46,8.065,7.875,0.19,True
6500,1050,91,9.38,9.375,0.005,True
4000,1200,79,1.12,1.5,-0.38,True
4500,1200,95,2.25,2.625,-0.375,True
5000,1200,88,3.75,3.375,0.375,True
5500,1200,100,4.88,4.5,0.38,True
6000,1200,1832,6.0,6.0,0.0,True
4000,1400,56,0.0,-0.75,0.75,False
4500,1400,108,1.12,0.75,0.37,True
5000,1400,216,2.25,1.875,0.375,True
5500,1400,242,3.75,3.75,0.0,True
