rpm,airmass,n_samples,logged_median,recovered,error,agrees_within_1_lsb
3000,500,125,15.75,15.75,0.0,True
3500,500,33,18.75,18.75,0.0,True
3000,600,51,13.88,13.875,0.005,True
3500,600,51,15.75,15.75,0.0,True
3000,700,84,12.75,12.75,0.0,True
3500,700,86,13.31,12.75,0.56,False
3000,800,66,9.75,9.375,0.375,True
3500,800,78,11.25,11.25,0.0,True
3000,900,48,6.0,6.375,-0.375,True
3500,900,85,7.88,8.25,-0.37,True
3000,1050,32,2.435,2.25,0.185,True
3500,1050,44,5.25,4.5,0.75,False
3000,1200,16,-0.19,-0.375,0.185,True
3500,1200,46,2.435,2.25,0.185,True
3500,1400,46,-0.38,-1.125,0.745,False
