,400,700,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
80,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,
400,,,,,,,,,,18.0,23.25,22.875,21.75,20.25,,
500,,,,,,,,,,18.0,22.5,18.75,17.625,17.625,18.0,
600,,,,,,,,,,13.875,17.625,16.5,16.5,16.875,16.5,
700,,,,,,,,,,11.25,12.0,13.125,13.875,14.25,14.625,15.375
800,,,,,,,,,,7.875,9.0,9.75,10.875,11.625,12.375,13.5
900,,,,,,,,,,5.25,6.375,7.5,8.25,9.0,10.125,11.625
1050,,,,,,,,,,1.875,3.375,4.5,5.25,6.375,7.875,9.375
1200,,,,,,,,,,-0.375,1.5,2.625,3.375,4.5,6.0,7.5
1400,,,,,,,,,,-1.875,-0.75,0.75,1.875,3.75,4.875,
