,400,700,1000,1250,1500,1750,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500
80,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,
350,,,,,,,,,,,,,,,,
400,,,,,,,,13.125,16.875,19.5,,,,,,
500,,,,,,,,15.0,15.75,18.75,,,,,,
600,,,,,,,,12.75,13.875,15.75,,,,,,
700,,,,,,,,10.875,12.75,12.75,,,,,,
800,,,,,,,,8.625,9.375,11.25,,,,,,
900,,,,,,,,,6.375,8.25,,,,,,
1050,,,,,,,,,2.25,4.5,,,,,,
1200,,,,,,,,,-0.375,2.25,,,,,,
1400,,,,,,,,,-3.375,-1.125,0.0,,,,,
