Time,GPS Speed (),GPS Altitude (),GPS Latitude (),GPS Longitude (),Accel X (ms2),Accel Y (ms2),Accel Z (ms2),Accel V1 (ms2),Accel V2 (ms2),Airflow (kg/hr),Airmass (mg/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Voltage (V),Boost (psi),Calc HP (hp),Calc TQ (nm),Cooling Fan (%),Coolant Temp (°C),Cruise (),Engine Speed (rpm),Eth Content (%),Exhaust Cam Pos (°),FP DI (bar),FP DI SP (bar),FP MPI (bar),FP MPI SP (bar),HPFP Eff Vol (%),Fuel Trim (%),Gear (),IAT (°C),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Int Cam Pos (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (),PUT (kpa),PUT SP (kpa),STFT (%),Torque (Nm),Torque Req (Nm),TPS (%),Turbo Speed (rpm),Turbo Air Temp (°C),Valve Lift Pos (),Vehicle Speed (km/hr),Wastegate (%),Wastegate SP (%),SimosTools [R2.11:2026_7_7:CBRICK_HSL_SL_5G0906259L_0002_BasicsGuide_R01.bin]
3289.558,0.0,-3.446106,47.485138,-122.218414,0.31734395,3.123386,2.8470426,0.0,0.0,8.0,95.17011,19.324265,10.455,5.0456247,1.5923346,1.4546654,14.8,0.0,101.0,0.0,700.5,0.0,-15.3,35.4,35.7,8.252251,3.75,14.32,0.79687506,8.0,18.7425,1.5,0.876,0.0,20.1,0.0,0.0,0.0,0.0,0.9970703,1.0,26.9739,0.79687506,30.3,30.3,0.0,17.092405,0.0,1.0,101.7,101.7,0.0,14.8,2.856,1.9,11.92627,21.113438,3.0,0.0,100.0,100.0,0
3289.591,0.0,-3.446106,47.485138,-122.218414,0.31734395,3.123386,2.8470426,0.0,0.0,8.0,95.17011,19.324265,10.455,5.0456247,1.5923346,1.4546654,14.8,0.0,101.0,0.0,700.5,0.0,-15.3,35.4,35.7,8.252251,3.75,14.32,0.79687506,8.0,18.7425,1.5,0.876,0.0,20.1,0.0,0.0,0.0,0.0,0.9970703,1.0,26.9739,0.79687506,30.3,30.3,0.0,17.092405,0.0,1.0,101.7,101.7,0.0,14.8,2.856,1.9,11.92627,21.113438,3.0,0.0,100.0,100.0,0
3289.624,0.0,-3.446106,47.485138,-122.218414,0.4362778,4.1064672,3.7907228,0.0,0.0,8.0,95.44261,27.562504,13.4685,6.819312,0.3971496,1.3819069,14.1,0.0,101.0,0.0,698.5,0.0,-15.3,35.6,35.7,9.627625,4.375,14.15,1.0265626,8.0,24.14475,0.0,0.876,0.0,20.4,0.0,0.0,0.0,0.0,0.9970703,1.0,34.74873,1.0265626,30.3,30.2,0.0,24.379168,0.0,1.0,101.8,101.7,0.0,14.1,3.6792002,1.9,11.999512,27.196594,3.0,0.0,100.0,100.0,0
3289.657,0.0,-3.446106,47.485138,-122.218414,0.4362778,4.1064672,3.7907228,0.0,0.0,8.0,95.44261,27.562504,13.4685,6.819312,0.3971496,1.3819069,14.1,0.0,101.0,0.0,698.5,0.0,-15.3,35.6,35.7,9.627625,4.375,14.15,1.0265626,8.0,24.14475,0.0,0.876,0.0,20.4,0.0,0.0,0.0,0.0,0.9970703,1.0,34.74873,1.0265626,30.3,30.2,0.0,24.379168,0.0,1.0,101.8,101.7,0.0,14.1,3.6792002,1.9,11.999512,27.196594,3.0,0.0,100.0,100.0,0
3289.69,0.0,-3.446106,47.485138,-122.218414,0.5075216,4.7935004,4.7055817,0.0,0.0,8.0,94.89917,34.97692,15.57795,8.238262,-0.67851716,1.4095342,14.3,0.0,101.0,0.0,702.5,0.0,-15.3,35.4,35.6,10.315313,4.6875,14.32,1.1873438,8.0,27.926327,0.37,0.932,0.0,20.5,0.0,0.0,0.0,0.0,0.99902344,1.0,40.19111,1.1873438,30.3,30.4,0.0,30.937252,0.0,1.0,101.7,101.7,0.0,14.3,4.25544,1.9,11.962891,31.453045,3.0,0.0,100.0,100.0,0
3289.723,0.0,-3.446106,47.485138,-122.218414,0.5075216,4.7935004,4.7055817,0.0,0.0,8.0,94.89917,34.97692,15.57795,8.238262,-0.67851716,1.4095342,14.3,0.0,101.0,0.0,702.5,0.0,-15.3,35.4,35.6,10.315313,4.6875,14.32,1.1873438,8.0,27.926327,0.37,0.932,0.0,20.5,0.0,0.0,0.0,0.0,0.99902344,1.0,40.19111,1.1873438,30.3,30.4,0.0,30.937252,0.0,1.0,101.7,101.7,0.0,14.3,4.25544,1.9,11.962891,31.453045,3.0,0.0,100.0,100.0,0
3289.756,0.0,-3.446106,47.485138,-122.218414,0.5075216,4.7935004,4.7055817,0.0,0.0,8.0,94.89917,34.97692,15.57795,8.238262,-0.67851716,1.4095342,14.3,0.0,101.0,0.0,702.5,0.0,-15.3,35.4,35.6,10.315313,4.6875,14.32,1.1873438,8.0,27.926327,0.37,0.932,0.0,20.5,0.0,0.0,0.0,0.0,0.99902344,1.0,40.19111,1.1873438,30.3,30.4,0.0,30.937252,0.0,1.0,101.7,101.7,0.0,14.3,4.25544,1.9,11.962891,31.453045,3.0,0.0,100.0,100.0,0
3289.789,0.0,-3.446106,47.485138,-122.218414,0.5406038,5.2668767,5.4372153,0.0,0.0,8.0,95.102234,41.649895,17.054565,9.373423,-1.6466169,1.4557036,14.8,0.0,101.0,0.0,701.0,0.0,-15.2,35.5,35.4,10.659157,4.84375,14.24,1.2998908,8.0,30.57343,1.5,0.932,0.0,20.7,0.0,0.0,0.0,0.0,0.9980469,1.0,44.00078,1.2998908,30.3,30.4,0.0,36.83953,0.0,1.0,101.7,101.7,0.0,14.8,4.658808,1.9,11.883545,34.432564,3.0,0.0,100.0,100.0,0
3289.822,0.0,-3.446106,47.485138,-122.218414,0.5406038,5.2668767,5.4372153,0.0,0.0,8.0,95.102234,41.649895,17.054565,9.373423,-1.6466169,1.4557036,14.8,0.0,101.0,0.0,701.0,0.0,-15.2,35.5,35.4,10.659157,4.84375,14.24,1.2998908,8.0,30.57343,1.5,0.932,0.0,20.7,0.0,0.0,0.0,0.0,0.9980469,1.0,44.00078,1.2998908,30.3,30.4,0.0,36.83953,0.0,1.0,101.7,101.7,0.0,14.8,4.658808,1.9,11.883545,34.432564,3.0,0.0,100.0,100.0,0
3289.855,0.0,-3.446106,47.485138,-122.218414,0.56900674,5.609938,5.8758073,0.0,0.0,8.0,95.95778,47.656403,18.088196,10.28155,-2.5180275,1.5889469,16.3,0.0,101.0,0.0,694.75,0.0,-15.3,35.4,35.5,10.831079,4.921875,14.24,1.3786736,8.0,32.4264,4.12,0.92,0.0,20.6,0.0,0.0,0.0,0.0,0.99902344,1.0,46.667545,1.3786736,30.3,30.8,0.0,42.15158,0.0,1.0,101.7,101.7,0.0,16.3,4.941166,1.9,11.907959,36.516468,3.0,0.0,100.0,100.0,0
