Time,GPS Speed (),GPS Altitude (),GPS Latitude (),GPS Longitude (),Accel X (ms2),Accel Y (ms2),Accel Z (ms2),Accel V1 (ms2),Accel V2 (ms2),Airflow (kg/hr),Airmass (mg/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Voltage (V),Boost (psi),Calc HP (hp),Calc TQ (nm),Cooling Fan (%),Coolant Temp (°C),Cruise (),Engine Speed (rpm),Eth Content (%),Exhaust Cam Pos (°),FP DI (bar),FP DI SP (bar),FP MPI (bar),FP MPI SP (bar),HPFP Eff Vol (%),Fuel Trim (%),Gear (),IAT (°C),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Int Cam Pos (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (),PUT (kpa),PUT SP (kpa),STFT (%),Torque (Nm),Torque Req (Nm),TPS (%),Turbo Speed (rpm),Turbo Air Temp (°C),Valve Lift Pos (),Vehicle Speed (km/hr),Wastegate (%),Wastegate SP (%),SimosTools [R2.11:2026_7_7:CBRICK_HSL_SL_5G0906259L_0002_BasicsGuide_R01.bin]
5410.525,0.00137,18.242188,47.46533,-122.13724,4.449067,-1.9073707,8.624781,0,0,11,115.449196,101.275055,18.390623,13.9461975,-10.021252,2.2615685,20.3,0,98,0,794,0,-14.3,39,38.8,11.003,5,16,2.34375,0,35.989616,-1.87,1.332,0,19.8,0,0,0,0,0.87890625,0.8800049,52.929276,-3.73E-14,32.2,32.1,1,107.9803,0,1,101.7,101.3,2.34375,20.3,6.7908583,2.5,13.092041,53.137634,3,0,100,100,0
5410.558,0.00137,18.242188,47.46533,-122.13724,4.449067,-1.9073707,8.624781,0,0,11,115.449196,101.275055,18.390623,13.9461975,-10.021252,2.2615685,20.3,0,98,0,794,0,-14.3,39,38.8,11.003,5,16,2.34375,0,35.989616,-1.87,1.332,0,19.8,0,0,0,0,0.87890625,0.8800049,52.929276,-3.73E-14,32.2,32.1,1,107.9803,0,1,101.7,101.3,2.34375,20.3,6.7908583,2.5,13.092041,53.137634,3,0,100,100,0
5410.591,0.00137,18.242188,47.46533,-122.13724,4.4400783,-1.9063756,8.626808,0,0,11,115.59478,101.27509,18.390623,13.939771,-10.021256,2.2587202,20.3,0,98,0,793,0,-14,38.9,38.8,11.003,5,16.13,2.34375,0,35.992733,-1.87,1.332,0,19.8,0,0,0,0,0.8798828,0.8800049,52.929493,-2.61E-14,32.2,32.1,1,107.97827,0,1,101.7,101.3,2.34375,20.3,6.793601,2.5,13.092041,52.999077,3,0,100,100,0
5410.624,0.00137,18.242188,47.46533,-122.13724,4.4400783,-1.9063756,8.626808,0,0,11,115.59478,101.27509,18.390623,13.939771,-10.021256,2.2587202,20.3,0,98,0,793,0,-14,38.9,38.8,11.003,5,16.13,2.34375,0,35.992733,-1.87,1.332,0,19.8,0,0,0,0,0.8798828,0.8800049,52.929493,-2.61E-14,32.2,32.1,1,107.97827,0,1,101.7,101.3,2.34375,20.3,6.793601,2.5,13.092041,52.999077,3,0,100,100,0
5410.657,0.00137,18.242188,47.46533,-122.13724,4.436928,-1.9187974,8.624738,0,0,11,115.59478,101.27513,18.390623,13.954941,-10.03577,2.2587202,20.3,0,98,0,793,0,-14,38.8,38.8,11.003,5,16.18,3.125,0,35.99491,-1.87,1.332,0,19.8,0,0,0,0,0.88378906,0.8800049,52.929646,-1.83E-14,32.1,32.1,1,107.97645,0,1,101.7,101.3,3.125,20.3,6.795521,2.5,13.092041,52.856384,3,0,100,100,0
5410.69,0.00137,18.242188,47.46533,-122.13724,4.436928,-1.9187974,8.624738,0,0,11,115.59478,101.27513,18.390623,13.954941,-10.03577,2.2587202,20.3,0,98,0,793,0,-14,38.8,38.8,11.003,5,16.18,3.125,0,35.99491,-1.87,1.332,0,19.8,0,0,0,0,0.88378906,0.8800049,52.929646,-1.83E-14,32.1,32.1,1,107.97645,0,1,101.7,101.3,3.125,20.3,6.795521,2.5,13.092041,52.856384,3,0,100,100,0
5410.723,0.00137,18.242188,47.46533,-122.13724,4.436928,-1.9187974,8.624738,0,0,11,115.59478,101.27513,18.390623,13.954941,-10.03577,2.2587202,20.3,0,98,0,793,0,-14,38.8,38.8,11.003,5,16.18,3.125,0,35.99491,-1.87,1.332,0,19.8,0,0,0,0,0.88378906,0.8800049,52.929646,-1.83E-14,32.1,32.1,1,107.97645,0,1,101.7,101.3,3.125,20.3,6.795521,2.5,13.092041,52.856384,3,0,100,100,0
5410.756,0.00137,18.242188,47.46533,-122.13724,4.4381566,-1.9173398,8.620791,0,0,11,115.66772,101.27516,18.390623,13.926453,-10.035775,2.301775,20.7,0,98,0,792.5,0,-14.1,38.6,38.8,11.003,5,16.27,3.125,0,35.996437,-1.12,1.332,0,19.6,0,0,0,0,0.8857422,0.8800049,52.929752,-1.28E-14,32.1,32.2,1,107.97481,0,1,101.7,101.3,3.125,20.7,6.7968645,2.5,13.092041,52.7565,3,0,100,100,0
5410.789,0.00137,18.242188,47.46533,-122.13724,4.4381566,-1.9173398,8.620791,0,0,11,115.66772,101.27516,18.390623,13.926453,-10.035775,2.301775,20.7,0,98,0,792.5,0,-14.1,38.6,38.8,11.003,5,16.27,3.125,0,35.996437,-1.12,1.332,0,19.6,0,0,0,0,0.8857422,0.8800049,52.929752,-1.28E-14,32.1,32.2,1,107.97481,0,1,101.7,101.3,3.125,20.7,6.7968645,2.5,13.092041,52.7565,3,0,100,100,0
5410.822,0.00137,18.242188,47.46533,-122.13724,4.4381566,-1.9173398,8.620791,0,0,11,115.66772,101.27516,18.390623,13.926453,-10.035775,2.301775,20.7,0,98,0,792.5,0,-14.1,38.6,38.8,11.003,5,16.27,3.125,0,35.996437,-1.12,1.332,0,19.6,0,0,0,0,0.8857422,0.8800049,52.929752,-1.28E-14,32.1,32.2,1,107.97481,0,1,101.7,101.3,3.125,20.7,6.7968645,2.5,13.092041,52.7565,3,0,100,100,0
5410.855,0.00137,18.242188,47.46533,-122.13724,4.437881,-1.9186409,8.617831,0,0,11,116.328255,101.27519,18.390623,13.903662,-10.021272,2.3218746,21,0,98,0,788,0,-14.2,38.6,38.7,11.003,5,16.28,3.125,0,35.997505,-1.12,1.324,0,19.5,0,0,0,0,0.8886719,0.8800049,52.92983,-8.95E-15,32.2,32.2,1,107.97333,0,1,101.7,101.3,3.125,21,6.797805,2.5,13.092041,52.640877,3,0,100,100,0
5410.888,0.00137,18.242188,47.46533,-122.13724,4.437881,-1.9186409,8.617831,0,0,11,116.328255,101.27519,18.390623,13.903662,-10.021272,2.3218746,21,0,98,0,788,0,-14.2,38.6,38.7,11.003,5,16.28,3.125,0,35.997505,-1.12,1.324,0,19.5,0,0,0,0,0.8886719,0.8800049,52.92983,-8.95E-15,32.2,32.2,1,107.97333,0,1,101.7,101.3,3.125,21,6.797805,2.5,13.092041,52.640877,3,0,100,100,0
5410.921,0.00137,18.242188,47.46533,-122.13724,4.437881,-1.9186409,8.617831,0,0,11,116.328255,101.27519,18.390623,13.903662,-10.021272,2.3218746,21,0,98,0,788,0,-14.2,38.6,38.7,11.003,5,16.28,3.125,0,35.997505,-1.12,1.324,0,19.5,0,0,0,0,0.8886719,0.8800049,52.92983,-8.95E-15,32.2,32.2,1,107.97333,0,1,101.7,101.3,3.125,21,6.797805,2.5,13.092041,52.640877,3,0,100,100,0
5410.954,0.00137,18.242188,47.46533,-122.13724,4.437674,-1.912434,8.619202,0,0,11,116.55011,101.275215,18.390623,13.905742,-10.021274,2.3505611,21.3,0,98,0,786.5,0,-14.1,38.8,38.7,11.003,5,16.16,3.125,0,35.998253,-0.37,1.324,0,19.9,0,0,0,0,0.890625,0.8800049,52.93288,-6.26E-15,32.2,32.3,1,107.972,0,1,101.7,101.3,3.125,21.3,6.8284636,2.5,13.098145,52.516,3,0,100,100,0
5410.987,0.00137,18.242188,47.46533,-122.13724,4.437674,-1.912434,8.619202,0,0,11,116.55011,101.275215,18.390623,13.905742,-10.021274,2.3505611,21.3,0,98,0,786.5,0,-14.1,38.8,38.7,11.003,5,16.16,3.125,0,35.998253,-0.37,1.324,0,19.9,0,0,0,0,0.890625,0.8800049,52.93288,-6.26E-15,32.2,32.3,1,107.972,0,1,101.7,101.3,3.125,21.3,6.8284636,2.5,13.098145,52.516,3,0,100,100,0
5411.02,0.00137,18.242188,47.46533,-122.13724,4.4267454,-1.9161586,8.62023,0,0,11,116.40211,101.27524,18.390623,13.907406,-10.00677,2.397748,21.7,0,98,0,787.5,0,-14.1,38.5,38.7,11.003,5,16.41,3.125,0,35.998775,0.37,1.344,0,19.8,0,0,0,0,0.890625,0.8800049,52.93202,-4.38E-15,32.3,32.5,1,107.9708,0,1,101.7,101.3,3.125,21.7,6.8499246,2.5,13.098145,52.384636,3,0,100,100,0
5411.053,0.00137,18.242188,47.46533,-122.13724,4.4267454,-1.9161586,8.62023,0,0,11,116.40211,101.27524,18.390623,13.907406,-10.00677,2.397748,21.7,0,98,0,787.5,0,-14.1,38.5,38.7,11.003,5,16.41,3.125,0,35.998775,0.37,1.344,0,19.8,0,0,0,0,0.890625,0.8800049,52.93202,-4.38E-15,32.3,32.5,1,107.9708,0,1,101.7,101.3,3.125,21.7,6.8499246,2.5,13.098145,52.384636,3,0,100,100,0
5411.086,0.00137,18.242188,47.46533,-122.13724,4.4245343,-1.918952,8.613819,0,0,11,116.07048,101.27526,18.390623,13.908737,-10.006774,2.4156797,21.8,0,98,0,789.75,0,-14.2,38.7,38.7,11.003,5,16.27,3.125,0,35.99914,0.37,1.344,0,19.7,0,0,0,0,0.88964844,0.8800049,52.934414,-3.07E-15,32.3,32.5,1,107.96973,0,1,101.7,101.3,3.125,21.8,6.8649473,2.5,13.098145,52.250492,3,0,100,100,0
5411.119,0.00137,18.242188,47.46533,-122.13724,4.4245343,-1.918952,8.613819,0,0,11,116.07048,101.27526,18.390623,13.908737,-10.006774,2.4156797,21.8,0,98,0,789.75,0,-14.2,38.7,38.7,11.003,5,16.27,3.125,0,35.99914,0.37,1.344,0,19.7,0,0,0,0,0.88964844,0.8800049,52.934414,-3.07E-15,32.3,32.5,1,107.96973,0,1,101.7,101.3,3.125,21.8,6.8649473,2.5,13.098145,52.250492,3,0,100,100,0
5411.152,0.00137,18.242188,47.46533,-122.13724,4.4245343,-1.918952,8.613819,0,0,11,116.07048,101.27526,18.390623,13.908737,-10.006774,2.4156797,21.8,0,98,0,789.75,0,-14.2,38.7,38.7,11.003,5,16.27,3.125,0,35.99914,0.37,1.344,0,19.7,0,0,0,0,0.88964844,0.8800049,52.934414,-3.07E-15,32.3,32.5,1,107.96973,0,1,101.7,101.3,3.125,21.8,6.8649473,2.5,13.098145,52.250492,3,0,100,100,0
5411.185,0.00137,18.242188,47.46533,-122.13724,4.4264674,-1.9378065,8.619784,0,0,11,116.07048,101.27528,18.390623,13.909802,-10.006777,2.404599,21.7,0,98,0,789.75,0,-14.2,38.6,38.7,11.003,5,16.3,3.125,0,35.999397,0.75,1.344,0,19.7,0,0,0,0,0.8876953,0.8800049,52.93609,-2.15E-15,32.3,32.7,1,107.96876,0,1,101.7,101.3,3.125,21.7,6.875463,2.5,13.098145,52.156593,3,0,100,100,0
5411.218,0.00137,18.242188,47.46533,-122.13724,4.4264674,-1.9378065,8.619784,0,0,11,116.07048,101.27528,18.390623,13.909802,-10.006777,2.404599,21.7,0,98,0,789.75,0,-14.2,38.6,38.7,11.003,5,16.3,3.125,0,35.999397,0.75,1.344,0,19.7,0,0,0,0,0.8876953,0.8800049,52.93609,-2.15E-15,32.3,32.7,1,107.96876,0,1,101.7,101.3,3.125,21.7,6.875463,2.5,13.098145,52.156593,3,0,100,100,0
5411.251,0.00137,18.242188,47.46533,-122.13724,4.4590416,-1.9256111,8.608696,0,0,11,115.96036,101.2753,18.390623,13.910654,-10.021287,2.4068825,21.7,0,98,0,790.5,0,-14.1,38.9,38.7,11.003,5,16.1,3.125,0,35.999577,0,1.344,0,19.7,0,0,0,0,0.8857422,0.8800049,52.93726,-1.50E-15,32.2,32.6,1,107.96789,0,1,101.7,101.3,3.125,21.7,6.9128246,2.5,13.098145,52.048676,3,0,100,100,0
5411.284,0.00137,18.242188,47.46533,-122.13724,4.4590416,-1.9256111,8.608696,0,0,11,115.96036,101.2753,18.390623,13.910654,-10.021287,2.4068825,21.7,0,98,0,790.5,0,-14.1,38.9,38.7,11.003,5,16.1,3.125,0,35.999577,0,1.344,0,19.7,0,0,0,0,0.8857422,0.8800049,52.93726,-1.50E-15,32.2,32.6,1,107.96789,0,1,101.7,101.3,3.125,21.7,6.9128246,2.5,13.098145,52.048676,3,0,100,100,0
