Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_7_12:CB_HSL_SP2933_5G0906259L_0002_BasicsGuide_R09.bin]
27676.516,-0.051326133,-0.33782607,0.09506249,0.09550367,101.776146,15.789481,14.088124,-10.641777,0.0,0.0,27.361,0.0,5.642,19.761,27.361,0.0,91.72934,0.0,0.0,474.75,231.375,3184.0,0.0,-12.75,0.08544922,105.247215,9482.581,9402.449,1100.0834,597.53687,7.0366673,7.7996793,0.0,3.9062495,3.0,25.52185,36.052235,35.999954,31.12496,0.708,0.0,-13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.83496094,0.8925781,58.68225,3.9062495,28.423538,28.511608,0.0,102.99997,4.7851562,0.0,102.32023,81.09334,488.625,548.625,-5.5159464E-19,5.25,0.0,4.1875,6.535555,59.99997,17.504883,0.0,69.24,0.0,0.0,-66.986084,99.998474,33.01239,0.703125,69.29,69.26,69.17,69.0,0
27676.559,-0.041060906,-0.32263044,0.09499094,0.09596996,101.77417,15.789481,14.092155,-10.631452,0.0,0.0,27.399,0.0,5.642,19.761,27.399,0.0,91.72934,0.0,0.0,474.75,229.875,3180.0,0.0,-12.3046875,0.08508301,105.23892,9084.576,9086.169,1100.0834,597.53687,8.054017,7.7149,0.0,3.9062495,3.0,25.556946,36.056034,36.374954,31.12496,0.724,0.0,-12.765625,0.0,0.0,0.0,0.0,0.0,0.0,0.83984375,0.890625,58.717346,3.9062495,28.492727,28.686987,0.0,102.99997,4.7851562,0.0,102.17927,81.085045,488.625,548.25,-4.4127573E-19,5.71875,0.0,4.21875,6.535555,59.99997,17.260742,0.0,69.29,0.0,0.0,-66.57715,99.998474,33.421326,0.7080078,69.17,69.15,68.77,68.85,0
27676.598,-0.032848727,-0.31655216,0.095224656,0.095927574,101.77239,15.789481,14.094977,-10.657551,0.0,0.0,27.442,0.0,5.642,19.761,27.442,0.0,91.72934,0.0,0.0,474.375,228.0,3173.0,0.0,-12.4140625,0.084472656,105.23892,8768.826,8769.888,1100.0834,597.53687,8.4567175,7.7149,0.0,3.9062495,3.0,25.260925,36.059452,35.999954,30.74996,0.744,0.0,-12.3359375,0.0,0.0,0.0,0.0,0.0,0.0,0.84765625,0.8886719,58.702087,3.9062495,28.311062,28.43861,0.0,102.99997,4.7851562,0.0,102.17927,81.085045,488.625,548.625,-3.530206E-19,5.5625,0.0,4.21875,6.535555,59.99997,17.333984,0.0,69.25,0.0,0.0,-66.537476,99.998474,33.461,0.7080078,69.0,69.2,68.79,69.02,0
27676.637,-0.026278982,-0.29537088,0.094987266,0.09558846,101.7708,15.789481,14.079374,-10.642402,0.0,0.0,27.482,0.0,5.642,19.761,27.482,0.0,91.72934,0.0,0.0,474.0,229.5,3161.0,0.0,-12.3046875,0.083496094,105.21404,8586.275,8456.791,1100.0834,597.53687,6.930693,7.6937056,0.0,3.9062495,3.0,23.887634,36.06253,36.374954,31.49996,0.756,0.0,-12.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.85253906,0.8876953,58.68225,3.9062495,28.413876,28.521774,0.0,102.99997,4.7851562,0.0,102.17927,81.085045,488.625,548.25,-2.824165E-19,5.53125,0.0,4.25,6.535555,59.99997,17.303467,0.0,69.12,0.0,0.0,-66.57715,99.998474,33.421326,0.7080078,69.23,69.13,68.83,68.92,0
27676.676,-0.021023186,-0.26814836,0.09433331,0.09262119,101.768524,15.789481,14.086031,-10.618853,0.0,0.0,27.521,0.0,5.642,19.761,27.521,0.0,91.72934,0.0,0.0,473.625,232.125,3151.0,0.0,-12.15625,0.08251953,105.18088,8245.054,8146.879,1100.0834,597.53687,7.312199,7.75729,0.0,3.9062495,3.0,23.580933,36.140488,36.374954,29.249962,0.756,0.0,-13.0859375,0.0,0.0,0.0,0.0,0.0,0.0,0.85839844,0.8857422,58.688354,3.9062495,28.57393,28.25447,0.0,102.99997,4.5898438,0.0,102.17927,81.07675,488.25,548.25,-2.259332E-19,5.46875,0.0,2.90625,6.535555,59.99997,17.30957,0.0,69.18,0.0,0.0,-66.57715,99.998474,33.421326,0.7080078,68.83,69.06,68.84,68.94,0
27676.717,-0.01681855,-0.23850936,0.09430654,0.09249402,101.76648,15.789481,14.09655,-10.641847,0.0,0.0,27.56,0.0,5.642,19.761,27.56,0.0,91.72934,0.0,0.0,474.0,225.375,3144.0,0.0,-12.734375,0.08215332,105.18088,8000.944,7836.9663,1100.0834,597.53687,6.1464863,7.354589,0.0,3.4374995,3.0,22.45636,36.21065,36.374954,29.249962,0.752,0.0,-12.6875,0.0,0.0,0.0,0.0,0.0,0.0,0.86328125,0.8847656,58.63037,3.9062495,28.41339,28.059622,0.0,102.99997,4.5898438,0.0,102.17927,81.07675,488.25,548.625,-0.46874997,4.34375,0.0,2.90625,6.06873,59.99997,17.022705,0.0,68.99,0.0,0.0,-66.55884,99.998474,33.439636,0.7055664,69.02,69.0,68.71,68.91,0
27676.758,-0.01345484,-0.22665375,0.09317855,0.09249402,101.76381,15.789481,14.092195,-10.756486,0.0,0.0,27.6,0.0,5.642,19.761,27.6,0.0,91.72934,0.0,0.0,473.625,227.625,3141.0,0.0,-13.4453125,0.08087158,105.13942,7481.416,7527.0537,1100.0834,597.53687,8.68986,7.375784,0.0,3.0624995,3.0,23.320007,36.273796,36.374954,32.249958,0.76,0.0,-11.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.86816406,0.8828125,58.602905,3.9062495,27.620522,27.49374,0.0,102.99997,4.5898438,0.0,102.17927,81.06847,488.25,549.375,-0.84374994,4.375,0.0,2.9375,6.06873,59.99997,16.967773,0.0,68.95,0.0,0.0,-66.55884,99.998474,33.439636,0.703125,69.0,69.0,68.66,68.71,0
27676.799,-0.0107638715,-0.22191152,0.09344371,0.09249402,101.761406,15.789481,14.100864,-10.838204,0.0,0.0,27.642,0.0,5.642,19.761,27.642,0.0,91.72934,0.0,0.0,473.625,228.0,3140.0,0.0,-14.25,0.080566406,105.13942,7211.8345,7217.141,1100.0834,597.53687,8.308354,7.4393682,0.0,2.9187496,3.0,22.673035,36.330627,36.374954,31.49996,0.768,0.0,-8.96875,0.0,0.0,0.0,0.0,0.0,0.0,0.8769531,0.88183594,58.63037,3.9062495,27.054838,26.868706,0.0,102.99997,4.5898438,0.0,102.17927,81.06847,488.25,550.125,-0.98749995,4.40625,0.0,2.96875,6.06873,59.99997,17.059326,0.0,68.9,0.0,0.0,-66.59546,99.998474,33.403015,0.703125,68.77,68.94,68.69,68.78,0
27676.838,0.011388903,-0.22001462,0.09338426,0.09249402,101.75925,15.789481,14.0893545,-10.9091015,0.0,0.0,27.682,0.0,5.642,19.761,27.682,0.0,91.72934,0.0,0.0,472.875,228.75,3138.0,0.0,-13.609375,0.080200195,105.13942,6975.155,6907.2285,1100.0834,597.53687,7.6937056,7.75729,0.0,2.9599996,3.0,21.946716,36.381775,35.999954,30.74996,0.792,0.0,-7.546875,0.0,0.0,0.0,0.0,0.0,0.0,0.8828125,0.8798828,58.636475,3.9062495,26.563997,26.39765,0.0,102.99997,4.5898438,0.0,102.17927,81.06847,487.875,549.75,-0.94624996,4.375,0.0,2.96875,6.06873,59.99997,17.034912,0.0,68.96,0.0,0.0,-66.59546,99.998474,33.403015,0.7080078,68.97,68.89,68.45,68.75,0
27676.877,0.009111122,-0.23800585,0.09255143,0.09240924,101.75647,15.789481,14.104735,-10.932104,0.0,0.0,27.722,0.0,5.642,19.761,27.722,0.0,91.72934,0.0,0.0,472.5,231.75,3138.0,0.0,-13.7890625,0.07952881,105.106255,6673.733,6597.3164,1100.0834,597.53687,7.566537,7.75729,0.0,2.9929996,3.0,21.479797,36.427807,36.374954,33.749958,0.804,0.0,-7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.88183594,0.8798828,58.650208,3.9062495,26.402668,26.381222,0.0,102.99997,4.5898438,0.0,102.17927,81.06017,487.875,549.75,-0.91324997,4.4375,0.0,2.96875,6.06873,59.99997,17.034912,0.0,68.86,0.0,0.0,-66.59546,99.998474,33.403015,0.7080078,68.75,68.85,68.62,68.62,0
