Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_10:CB_HSL_SP2933_5G0906259L_0002_BasicsGuide_R14 (1).bin]
2250759.8,0.51844054,0.048476137,0.1871533,0.20185909,101.92186,17.293243,13.9574585,-6.053644,51.822113,22.293615,99.56,0.0,3.882,24.081,55.36,0.0,97.746216,0.0,0.0,469.125,225.0,3066.0,0.0,-7.2890625,0.091430664,108.19079,9295.253,9700.156,1100.0834,502.81186,21.851818,12.038635,0.0,-3.6194592,3.0,33.503723,25.341387,26.624966,26.999966,1.008,0.0,-28.46875,0.07678223,0.0,0.0,0.0,0.0,0.0,0.9941406,1.0,55.067444,0.7812499,60.194748,63.3148,0.0,104.99994,12.109375,1.0,103.008446,81.21771,487.875,543.375,-4.400709,43.90625,0.0,50.03125,10.736983,38.99999,23.76709,0.0,66.9,23.03125,0.0,-68.341064,71.43555,3.0944824,0.60546875,66.89,66.99,66.48,66.62,0
2250759.8,0.5347524,0.038140453,0.1993296,0.20109607,101.92189,17.293243,13.9538145,-5.6811957,51.75474,22.300941,99.598,0.0,3.882,24.081,55.36,0.0,97.74585,0.0,0.0,468.375,223.5,3071.0,0.0,-7.2421875,0.091674805,108.42295,9359.995,10190.497,1100.0834,502.81186,29.206408,12.54731,0.0,-3.6768174,3.0,38.31787,25.363638,25.124968,25.499968,1.048,0.0,-28.710938,0.076416016,0.0,0.0,0.0,0.0,0.0,0.99609375,1.0,55.14984,0.7812499,62.762028,63.125694,0.0,104.99994,12.109375,1.0,102.983574,81.21771,487.875,543.375,-4.4580674,49.4375,0.0,50.25,11.203809,38.99999,24.377441,0.0,66.93,22.9375,0.0,-68.10303,71.60034,3.4973145,0.5957031,66.86,66.76,66.4,66.64,0
2250760.0,0.52780193,0.034006182,0.20055738,0.20075695,101.92192,17.293243,13.962982,-5.5645866,51.71643,22.320715,99.638,0.0,3.882,24.081,55.36,0.0,97.745544,0.0,0.0,467.25,223.125,3076.0,0.0,-7.125,0.092041016,108.90388,9926.753,10431.423,1100.0834,502.81186,28.040695,12.356557,0.0,-3.722704,3.0,38.487244,25.383665,25.124968,25.124968,1.088,0.0,-28.835938,0.07550049,0.0,0.0,0.0,0.0,0.0,0.9951172,1.0,55.14984,0.7812499,63.56583,63.45804,0.0,104.99994,12.109375,1.0,103.099655,81.21771,487.5,543.0,-4.503954,51.125,0.0,50.25,10.736983,38.99999,24.255371,0.0,67.1,22.65625,0.0,-68.34412,71.97876,3.6346436,0.5957031,66.99,67.06,66.56,66.38,0
2250760.0,0.5422415,0.032352474,0.2010489,0.20092648,101.92195,17.293243,13.957681,-5.549524,51.745117,22.296793,99.678,0.0,3.882,24.081,55.36,0.0,97.7453,0.0,0.0,467.625,223.125,3071.0,0.0,-7.0546875,0.09112549,108.95363,10464.324,10496.695,1100.0834,502.81186,22.127352,12.377752,0.0,-3.9156632,3.0,35.331726,25.40169,25.124968,25.124968,1.06,0.0,-28.921875,0.07550049,0.0,0.0,0.0,0.0,0.0,0.9892578,1.0,55.13916,0.7812499,63.66969,63.635056,0.0,104.99994,12.109375,1.0,103.16599,81.21771,487.5,543.0,-4.6969132,51.1875,0.0,50.375,10.736983,38.99999,24.285889,0.0,66.94,22.65625,0.0,-68.58215,71.8811,3.2989502,0.5932617,66.78,66.99,66.7,66.38,0
2250760.0,0.5537932,0.069190994,0.20094585,0.20084175,101.921974,17.293243,13.95397,-5.5526857,76.749535,33.0065,99.718,0.0,3.882,24.081,55.36,0.0,97.74512,0.0,0.0,468.75,223.125,3065.0,0.0,-6.9765625,0.09106445,108.93704,10734.437,10489.266,1100.0834,502.81186,19.393225,12.314168,0.0,-4.0700307,3.0,34.025574,25.417912,25.124968,25.124968,1.012,0.0,-28.96875,0.07507324,0.0,0.0,0.0,0.0,0.0,0.9873047,1.0,55.126953,0.7812499,63.647915,63.61472,0.0,104.99994,12.109375,1.0,103.19916,81.21771,487.5,543.0,-4.8512807,51.15625,0.0,50.375,10.736983,38.99999,24.34082,0.0,66.86,22.53125,0.0,-68.65845,72.03369,3.3752441,0.5883789,67.03,66.8,66.4,66.51,0
2250760.0,0.56303453,0.121426396,0.20094404,0.20088412,101.922,17.293243,13.9572315,-5.5527444,93.9713,40.373245,99.761,0.0,3.882,24.081,55.36,0.0,97.744965,0.0,0.0,469.125,223.125,3062.0,0.0,-6.9609375,0.09106445,108.91217,10827.835,10515.269,1100.0834,502.81186,17.82481,12.314168,0.0,-4.1935244,3.0,33.447266,25.43251,24.749968,25.124968,0.984,0.0,-29.03125,0.07537842,0.0,0.0,0.0,0.0,0.0,0.9970703,1.0,55.143738,0.7812499,63.647533,63.63145,0.0,104.99994,12.109375,1.0,103.12453,81.21771,487.5,543.0,-4.9747744,51.15625,0.0,50.34375,10.736983,38.99999,24.21875,0.0,66.92,22.625,0.0,-68.36548,71.92383,3.5583496,0.5957031,66.9,66.99,66.68,66.44,0
2250760.0,0.5704276,0.14232056,0.19998644,0.20118085,101.92202,17.293243,13.953655,-5.567849,94.09137,40.372025,99.798,0.0,3.882,24.081,55.36,0.0,97.74484,0.0,0.0,468.75,222.75,3058.0,0.0,-6.875,0.09075928,108.90388,10701.534,10529.066,1100.0834,502.81186,18.48185,12.398947,0.0,-4.1360693,3.0,33.821106,25.52084,24.749968,24.749968,1.012,0.0,-29.078125,0.075683594,0.0,0.0,0.0,0.0,0.0,1.0175781,1.0,55.14984,0.7812499,63.54344,63.78721,0.0,104.99994,12.109375,1.0,103.141106,81.21771,487.5,543.0,-4.9173193,50.59375,0.0,50.375,10.736983,38.99999,24.1333,0.0,66.86,22.71875,0.0,-68.51807,71.77734,3.2592773,0.5859375,66.86,66.97,66.64,66.67,0
2250760.0,0.57634205,0.15067822,0.19896787,0.20126562,101.922035,17.293243,13.951152,-5.5757027,93.95391,40.33941,99.838,0.0,3.882,24.081,55.36,0.0,97.74475,0.0,0.0,468.375,222.75,3060.0,0.0,-6.7578125,0.09069824,108.86242,10666.51,10611.851,1100.0834,502.81186,16.998215,12.674479,0.0,-3.9338555,3.0,32.754517,25.600334,24.749968,24.749968,1.028,0.0,-29.0625,0.076660156,0.0,0.0,0.0,0.0,0.0,1.0234375,1.0,55.18036,0.7812499,63.489323,63.995262,0.0,104.99994,12.109375,1.0,103.066475,81.21771,487.5,543.0,-4.7151055,50.53125,0.0,50.375,10.736983,38.99999,23.97461,0.0,67.0,23.0,0.0,-68.24036,71.40503,3.1646729,0.60546875,67.06,66.72,66.38,66.59,0
2250760.2,0.58107364,0.11652129,0.19909713,0.20075695,101.92205,17.293243,13.9494,-5.5717344,76.8326,33.085346,99.878,0.0,3.882,24.081,55.36,0.0,97.744675,0.0,0.0,468.375,223.125,3069.0,0.0,-6.7109375,0.09069824,108.83754,10659.081,10516.33,1100.0834,502.81186,16.362371,12.54731,0.0,-3.7720842,3.0,32.414246,25.671879,25.124968,25.124968,1.02,0.0,-29.039062,0.07684326,0.0,0.0,0.0,0.0,0.0,1.0185547,1.0,55.184937,0.7812499,63.516693,63.849434,0.0,104.99994,12.109375,1.0,103.04162,81.21771,487.5,542.625,-4.553334,50.3125,0.0,50.25,10.736983,38.99999,24.023438,0.0,67.06,23.0625,0.0,-68.255615,71.33789,3.0822754,0.6152344,66.92,67.01,66.62,66.64,0
2250760.2,0.5848589,0.10285852,0.2007235,0.20067216,101.922066,17.293243,13.942314,-5.5217786,76.72261,33.027218,99.918,0.0,3.882,24.081,55.36,0.0,97.74461,0.0,0.0,468.375,223.125,3068.0,0.0,-6.65625,0.09033203,108.84583,10541.803,10611.32,1100.0834,502.81186,19.77473,12.653284,0.0,-3.6426673,3.0,34.5932,25.73627,25.124968,25.124968,1.028,0.0,-29.085938,0.07727051,0.0,0.0,0.0,0.0,0.0,1.0166016,1.0,55.19104,0.7812499,63.861046,63.831482,0.0,104.99994,12.109375,1.0,103.066475,81.21771,487.5,542.625,-4.4239173,50.9375,0.0,50.25,10.736983,38.99999,24.176025,0.0,66.95,23.1875,0.0,-68.3136,71.136475,2.822876,0.6201172,66.97,66.99,66.38,66.48,0
