Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_8_26:Patched_259L_R18.bin]
252058.53,-1.9385304,1.0124148,0.33192116,0.34310108,101.48248,23.30828,13.807808,-1.9887211,160.9908,47.34625,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,451.875,213.0,2096.0,0.0,-8.046875,0.10510254,109.32675,15770.515,15784.3125,1100.0834,502.01587,26.387503,25.13701,0.0,5.1347904,2.0,47.013855,44.476418,14.249982,14.999981,1.596,0.0,-28.539062,0.11541748,0.0,0.0,0.0,0.0,0.0,0.9140625,1.0,56.3385,2.3437505,87.774445,88.98064,0.0,109.00002,23.144531,1.0,113.13268,88.42325,472.125,544.125,2.7910402,103.15625,0.0,100.5625,13.537935,74.99995,42.76123,1.0,28.47,34.625,0.0,-76.35803,61.21216,0.0,3.6669922,29.02,27.89,28.49,27.31,0
252058.56,-2.0908244,1.023716,0.34252235,0.34263483,101.48334,23.30828,13.819762,-1.7780765,163.36081,48.432915,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,451.875,212.625,2113.0,0.0,-7.953125,0.105651855,109.567215,15884.609,15850.116,1100.0834,502.01587,26.832592,25.1794,0.0,4.889083,2.0,47.44568,44.464867,13.874982,14.624981,1.596,0.0,-28.390625,0.117492676,0.0,0.0,0.0,0.0,0.0,0.93066406,1.0,56.39801,2.3437505,89.22725,89.248764,0.0,109.00002,23.144531,1.0,113.41459,88.738335,472.125,544.125,2.5453322,107.53125,0.0,100.875,14.004761,74.99995,43.359375,1.0,28.7,35.25,0.0,-75.37537,60.614014,0.0,3.6669922,29.4,28.2,28.87,27.44,0
252058.61,-2.2526596,1.0094864,0.3453521,0.34365216,101.48328,23.30828,13.810553,-1.7477953,160.97859,47.907337,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,451.5,212.625,2121.0,0.0,-7.8671875,0.10614014,110.05643,15969.517,15886.732,1100.0834,503.0772,26.239138,25.476126,0.0,4.6925163,2.0,47.14966,44.45447,13.499983,14.624981,1.684,0.0,-27.96875,0.119140625,0.0,0.0,0.0,0.0,0.0,0.9501953,1.0,56.40869,2.3437505,89.43591,89.27665,0.0,109.00002,23.144531,1.0,113.68822,88.98708,473.25,543.75,2.3487659,108.71875,0.0,101.34375,14.004761,74.99995,43.841553,1.0,28.72,35.75,0.0,-75.67139,60.150146,0.0,3.6669922,29.34,28.28,29.26,27.54,0
252058.64,-2.3621278,1.0600445,0.3470328,0.344288,101.48322,23.30828,13.804106,-1.7314173,168.04251,50.22177,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,451.875,212.625,2130.0,0.0,-7.9453125,0.10595703,110.23055,15994.989,15898.407,1100.0834,503.0772,25.476126,25.497322,0.0,4.535263,2.0,46.73004,44.445114,13.874982,14.624981,1.688,0.0,-27.539062,0.12133789,0.0,0.0,0.0,0.0,0.0,0.9609375,1.0,56.466675,2.3437505,89.54875,89.25898,0.0,109.00002,23.144531,1.0,114.16914,89.19438,473.625,544.125,2.1915126,109.5625,0.0,101.625,14.004761,74.99995,44.73877,1.0,28.88,36.40625,0.0,-76.30615,59.381104,0.0,3.6669922,29.46,28.36,29.57,27.67,0
252058.69,-2.369702,1.0990179,0.34265786,0.34445757,101.48318,23.30828,13.799593,-1.8174229,170.32114,51.093952,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,451.875,212.25,2138.0,0.0,-8.2890625,0.10571289,110.2886,16026.83,15816.684,1100.0834,503.0772,24.183245,24.56475,0.0,4.4094605,2.0,46.0495,44.436695,13.874982,14.249982,1.692,0.0,-27.054688,0.12207031,0.0,0.0,0.0,0.0,0.0,0.97265625,1.0,56.471252,2.3437505,88.95588,89.17335,0.0,109.00002,23.144531,1.0,114.74127,89.26071,474.0,544.5,2.06571,107.5625,0.0,101.71875,13.537935,74.99995,44.995117,1.0,29.12,36.625,0.0,-77.38037,59.088135,0.0,3.6669922,29.74,28.49,29.57,27.74,0
252058.72,-2.2557616,1.1521072,0.338484,0.3383111,101.48396,23.30828,13.802293,-1.8992345,174.8456,52.647488,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,451.875,212.625,2146.0,0.0,-8.265625,0.10473633,110.37151,16015.155,15749.288,1100.0834,503.60788,22.16974,24.56475,0.0,4.308819,2.0,44.947815,44.429115,14.249982,14.624981,1.692,0.0,-26.890625,0.118652344,0.0,0.0,0.0,0.0,0.0,0.9814453,1.0,56.45294,2.3437505,88.392746,88.35229,0.0,109.00002,22.65625,1.0,115.38802,89.111465,474.0,544.5,1.9650681,105.59375,0.0,98.6875,13.537935,74.99995,46.166992,1.0,29.26,35.59375,0.0,-78.93677,60.05249,0.0,3.6669922,29.96,28.74,29.75,27.99,0
252058.77,-2.1046093,1.1920929,0.3329505,0.33076575,101.48467,23.30828,13.821761,-1.968053,177.11346,53.554024,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,451.875,213.0,2155.0,0.0,-8.1875,0.10321045,110.13934,15960.496,15664.911,1100.0834,503.60788,20.643717,24.16205,0.0,4.228305,2.0,44.062805,44.422295,14.624981,14.999981,1.648,0.0,-26.945312,0.11468506,0.0,0.0,0.0,0.0,0.0,0.9863281,1.0,56.484985,2.3437505,87.9191,87.64593,0.0,109.00002,22.265625,1.0,115.77775,88.68029,473.25,544.125,1.8845545,103.34375,0.0,96.21875,13.07111,74.99995,46.392822,1.0,29.46,34.40625,0.0,-80.03845,61.120605,0.0,3.6669922,30.19,28.69,29.7,28.33,0
252058.81,-1.9836874,1.2080872,0.32718045,0.33504707,101.48531,23.30828,13.82367,-2.0586452,177.05894,53.761127,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,452.25,213.375,2164.0,0.0,-8.0390625,0.10357666,110.16422,15817.214,15586.372,1100.0834,504.13855,19.77473,23.738155,0.0,4.163894,2.0,43.50586,44.416157,14.624981,15.37498,1.628,0.0,-27.1875,0.119262695,0.0,0.0,0.0,0.0,0.0,0.9892578,1.0,56.469727,2.3437505,87.295296,88.187614,0.0,109.00002,22.460938,1.0,116.33329,88.46471,473.625,544.125,1.8201436,101.0,0.0,97.71875,13.07111,74.99995,46.966553,1.0,29.67,35.78125,0.0,-82.159424,59.631348,0.0,3.6669922,30.35,28.88,29.39,28.25,0
252058.84,-1.9869499,1.2144849,0.32601896,0.33873495,101.485886,23.30828,13.8250065,-2.0377347,177.15007,53.937935,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,452.25,213.375,2170.0,0.0,-8.0078125,0.10412598,110.048134,15694.629,15631.479,1100.0834,504.13855,20.855663,23.950102,0.0,4.1123652,2.0,44.0506,44.410633,14.624981,15.37498,1.628,0.0,-27.867188,0.123535156,0.0,0.0,0.0,0.0,0.0,0.9892578,1.0,56.507874,2.3437505,87.44,88.91952,0.0,109.00002,22.65625,1.0,116.55717,88.61396,473.625,544.125,1.7686149,100.34375,0.0,99.34375,13.07111,74.99995,47.595215,1.0,29.72,37.0625,0.0,-82.44629,58.294678,0.0,3.6669922,30.5,29.13,30.08,28.61,0
252058.89,-2.0895598,1.179544,0.3425698,0.34233811,101.486404,23.30828,13.831801,-1.76189,172.81432,52.787533,92.082,0.0,4.561,15.561,24.481,0.0,99.248116,0.0,0.0,452.625,212.625,2177.0,0.0,-8.0078125,0.10437012,109.9901,15643.685,15785.374,1100.0834,504.13855,25.5821,24.797894,0.0,3.9148924,2.0,46.87805,44.405663,14.249982,14.624981,1.6,0.0,-27.765625,0.12768555,0.0,0.0,0.0,0.0,0.0,0.99316406,1.0,56.53839,2.3437505,89.34189,89.3319,0.0,109.00002,22.851562,1.0,116.63179,88.90417,473.625,544.125,1.571142,106.40625,0.0,100.96875,13.537935,74.99995,48.364258,1.0,29.73,38.3125,0.0,-82.180786,56.939697,0.0,3.6669922,30.04,29.18,30.42,28.94,0
