Time,Accel. Lat (m/s2),Accel. Long (m/s2),Airmass (g/stk),Airmass SP (g/stk),Ambient Press (kpa),Ambient Temp (°C),Battery Volts (V),Boost (psi),Calc TQ (nm),Calc HP (hp),Calc 0-60mph (s),Calc 60-130mph (s),Calc 0-60ft (s),Calc 1/8mile (s),Calc 1/4mile (s),Comb Mode (),Coolant Temp (°C),Cruise (),DV Position (%),EOI Actual (°),EOI Limit (°),Engine Speed (rpm),Eth Content (%),Exh Cam Position (°),Exh Flow Factor (),Exh Pres Desired (kpa),FP DI (kpa),FP DI SP (kpa),FP MPI (kpa),FP MPI SP (kpa),Fuel Flow (mg/stk),Fuel Flow SP (mg/stk),Fuel Split MPI (),Fuel Trim (%),Gear (gear),HPFP Eff Vol (%),IAT (°C),Ign Table (°),Ign Avg (°),Inj PW DI (ms),Inj PW MPI (ms),Intake Cam Pos (°),Intake Flow Fact (),Knock Avg (°),Knock Cyl 1 (°),Knock Cyl 2 (°),Knock Cyl 3 (°),Knock Cyl 4 (°),knks_thd[0] (V),knks_thd[1] (V),knks_thd[2] (V),knks_thd[3] (V),nl_c42b2[0] (V),nl_c42b2[1] (V),nl_c42b2[2] (V),nl_c42b2[3] (V),nl_c42c2[0] (V),nl_c42c2[1] (V),nl_c42c2[2] (V),nl_c42c2[3] (V),nl_c4274[0] (V),nl_c4274[1] (V),nl_c4274[2] (V),nl_c4274[3] (V),nl_c429c[0] (V),nl_c429c[1] (V),nl_c429c[2] (V),nl_c429c[3] (V),Lambda (l),Lambda SP (l),LPFP Duty (%),LTFT (%),MAP (kpa),MAP SP (kpa),Misfires (),Oil Temp (°C),Pedal Pos (%),Port Flap Pos (%),PUT (kpa),PUT SP (kpa),SOI Actual (°),SOI Limit (°),STFT (%),Torque (Nm),Torque Lim (),Torque Req (Nm),TPS (%),Trans Temp (°C),Turbo Speed (rpm),Valve Lift Pos (),Vehicle Speed (km/h),WG Flow Des (kg/hr),WG I Value (%),WG P-D Value (%),WG Pos Base (%),WG Pos Final (%),WG Voltage (V),Wheel Speed FL (km/h),Wheel Speed FR (km/h),Wheel Speed RL (km/h),Wheel Speed RR (km/h),SimosTools [R2.12:2026_9_1:Patched_259L_R22.bin]
650798.2,-3.060495,0.84703934,0.42112237,0.42682052,100.72823,15.037586,14.146932,-0.59547627,186.98944,52.421062,25.399,0.0,5.039,20.761,28.885,0.0,99.99995,0.0,0.0,450.375,210.0,1998.0,0.0,-8.1171875,0.10736084,110.951935,16740.584,16861.047,1100.0834,499.89316,31.325886,31.02916,0.0,3.245783,3.0,50.86212,29.378315,11.249986,11.999985,1.988,0.0,-24.140625,0.17230225,0.0,0.0,0.0,0.0,0.0,1.3671875,1.4453125,1.7773438,1.71875,0.5639734,0.6118868,0.6713207,0.62943465,0.23041123,0.33501184,0.27374685,0.32173648,0.58457315,0.63859004,0.7844663,0.58358127,0.19546807,0.31464103,0.27237353,0.25528345,0.99902344,1.0,55.833435,0.0,96.62368,97.19876,0.0,110.00001,28.515625,1.0,119.26857,97.83439,474.375,544.125,3.245783,140.1875,0.0,135.5,15.405237,73.99996,54.644775,1.0,43.54,51.6875,0.0,-38.980103,48.19336,4.7836304,3.6767578,44.33,42.78,43.82,42.29,0
650798.2,-3.148396,0.78881574,0.42255816,0.42754108,100.72823,15.037586,14.133321,-0.57528627,180.08684,50.51124,25.399,0.0,5.039,20.761,28.885,0.0,99.99996,0.0,0.0,450.0,210.0,1999.0,0.0,-8.15625,0.107421875,111.043144,16770.3,16819.123,1100.0834,499.89316,31.601418,30.817211,0.0,3.2216265,3.0,51.045227,29.372814,10.874986,11.999985,2.024,0.0,-24.171875,0.1729126,0.0,0.0,0.0,0.0,0.0,1.3671875,1.4453125,1.7773438,1.71875,0.5639734,0.6118868,0.67620355,0.6256962,0.23041123,0.33501184,0.27367055,0.31776914,0.55313957,0.6896315,0.7844663,0.5564965,0.1920348,0.33974212,0.27237353,0.24345769,0.9980469,1.0,55.83954,0.0,96.76285,97.35342,0.0,110.00001,28.515625,1.0,119.633415,97.72659,474.75,544.125,3.2216265,140.625,0.0,135.84375,14.938412,73.99996,54.82788,1.0,43.61,51.875,0.0,-41.571045,48.15674,2.192688,3.6767578,44.39,42.89,43.94,42.12,0
650798.25,-3.2187166,0.7655263,0.41937038,0.43928304,100.72823,15.037586,14.141372,-0.6283652,180.14326,50.75455,25.399,0.0,5.039,20.761,28.885,0.0,99.99997,0.0,0.0,450.0,210.375,2008.0,0.0,-8.0703125,0.10858154,111.1924,16836.635,16853.086,1100.0834,499.89316,29.397161,31.071548,0.0,3.2023013,3.0,49.761963,29.367863,11.249986,12.374984,2.024,0.0,-24.195312,0.1829834,0.0,0.0,0.0,0.0,0.0,1.3476562,1.4648438,1.796875,1.71875,0.56343937,0.6152438,0.67956054,0.6256962,0.22842756,0.33524072,0.2730602,0.31776914,0.55313957,0.6896315,0.75425345,0.8409247,0.1920348,0.33974212,0.2618448,0.367895,0.99316406,1.0,55.83191,0.0,96.39698,98.50356,0.0,110.00001,29.101562,1.0,120.16408,97.90072,474.75,544.125,3.2023013,139.71875,0.0,139.96875,14.938412,73.99996,55.889893,1.0,43.73,54.90625,0.0,-40.478516,47.5708,2.5283813,3.6767578,44.51,43.01,44.15,42.38,0
650798.3,-3.2949734,0.75621057,0.43220115,0.44191116,100.72823,15.037586,14.147007,-0.3993857,180.18445,51.018974,25.399,0.0,5.039,20.761,28.885,0.0,99.99998,0.0,0.0,450.0,210.0,2018.0,0.0,-8.0234375,0.10925293,111.17582,16756.504,17095.072,1100.0834,499.89316,35.713207,32.343235,0.0,3.030591,3.0,53.03192,29.363407,10.874986,11.999985,2.004,0.0,-24.226562,0.18780518,0.0,0.0,0.0,0.0,0.0,1.3671875,1.4648438,1.796875,1.7382812,0.5651942,0.61486226,0.67956054,0.6349279,0.22751202,0.33340964,0.2730602,0.32028687,0.6038758,0.6083772,0.727245,0.8409247,0.20965897,0.29968718,0.2524605,0.367895,0.9902344,1.0,55.880737,0.0,97.97531,98.98688,0.0,110.00001,29.199219,1.0,120.40454,98.3236,474.75,544.125,3.030591,143.78125,0.0,141.0,15.872062,73.99996,56.835938,1.0,43.89,56.34375,0.0,-35.372925,47.320557,7.218933,3.6767578,44.66,43.22,44.39,42.62,0
650798.3,-3.3359785,0.75248426,0.43879688,0.4427166,100.72823,15.037586,14.133373,-0.29977143,180.19415,51.17342,25.399,0.0,5.039,20.761,28.885,0.0,99.999985,0.0,0.0,449.25,209.625,2024.0,0.0,-7.9453125,0.109436035,111.38311,16831.328,17072.785,1100.0834,500.1585,36.1371,32.21607,0.0,2.8932228,3.0,53.315735,29.359396,10.874986,11.624985,2.084,0.0,-24.164062,0.18902588,0.0,0.0,0.0,0.0,0.0,1.3671875,1.4648438,1.8164062,1.7578125,0.5651942,0.61486226,0.6816205,0.63614863,0.22751202,0.33340964,0.27199206,0.31876096,0.638819,0.7188525,0.727245,0.66407263,0.22178988,0.3541619,0.2524605,0.29053178,0.9902344,1.0,55.89447,0.0,98.66194,99.045555,0.0,110.00001,29.199219,1.0,120.71134,98.6221,475.125,544.125,2.8932228,147.34375,0.0,141.40625,15.872062,73.99996,57.226562,1.0,44.1,56.71875,0.0,-32.791138,47.25952,9.67865,3.6767578,44.82,43.37,44.39,42.73,0
650798.4,-3.348783,0.76974374,0.4400122,0.44318283,100.72823,15.037586,14.141408,-0.26217616,183.62009,52.378227,25.399,0.0,5.039,20.761,28.885,0.0,99.99999,0.0,0.0,449.25,209.625,2033.0,0.0,-7.9140625,0.10974121,111.66503,17045.19,17110.463,1100.0834,500.1585,33.805676,32.36443,0.0,2.7833283,3.0,52.06604,29.355787,11.249986,11.624985,2.084,0.0,-24.109375,0.19073486,0.0,0.0,0.0,0.0,0.0,1.3671875,1.4648438,1.8359375,1.7578125,0.56832224,0.6193637,0.6890974,0.63614863,0.22720684,0.33447775,0.27328908,0.31876096,0.638819,0.7188525,0.8552682,0.66193634,0.22178988,0.3541619,0.29694057,0.28961623,0.98339844,1.0,55.93109,0.0,98.92108,99.29258,0.0,110.00001,29.199219,1.0,121.22543,98.89573,475.125,543.75,2.7833283,147.90625,0.0,141.8125,15.872062,73.99996,57.995605,1.0,44.18,57.21875,0.0,-30.60913,47.18628,11.756897,3.6767578,44.98,43.52,44.49,42.82,0
650798.4,-3.3390265,0.81414753,0.4385863,0.44314045,100.72823,15.037586,14.141173,-0.25517425,190.36668,54.46298,25.399,0.0,5.039,20.761,28.885,0.0,99.99999,0.0,0.0,450.0,209.625,2039.0,0.0,-7.9765625,0.10949707,111.764534,17043.598,17055.803,1100.0834,500.68918,32.70355,32.00412,0.0,2.6954126,3.0,51.431274,29.277351,11.249986,11.624985,2.096,0.0,-24.078125,0.19152832,0.0,0.0,0.0,0.0,0.0,1.3671875,1.4648438,1.8359375,1.7578125,0.57351035,0.6153201,0.6890974,0.63729304,0.2278172,0.33096817,0.27328908,0.31731135,0.6899367,0.5397879,0.5575647,0.66193634,0.23956664,0.26588845,0.19356069,0.28961623,0.9814453,1.0,55.92041,0.0,98.969345,99.499695,0.0,110.00001,29.199219,1.0,121.93023,99.161064,475.875,544.125,2.6954126,147.3125,0.0,142.09375,15.405237,73.99996,58.87451,1.0,44.28,57.46875,0.0,-29.040527,47.058105,13.142395,3.6767578,45.06,43.67,44.87,43.04,0
650798.44,-3.3112211,0.8694091,0.440107,0.45161837,100.72823,15.037586,14.146868,-0.27679324,196.80515,56.387833,25.399,0.0,5.039,20.761,28.885,0.0,99.99999,0.0,0.0,449.625,209.625,2042.0,0.0,-8.59375,0.110961914,111.8972,17097.195,17012.287,1100.0834,500.68918,31.304691,31.707392,0.0,2.46883,3.0,50.65918,29.206758,11.249986,11.624985,2.064,0.0,-23.796875,0.19799805,0.0,0.0,0.0,0.0,0.0,1.3671875,1.4648438,1.8164062,1.7578125,0.57351035,0.6153201,0.6823835,0.6408789,0.2278172,0.33096817,0.26924545,0.31723505,0.54024565,0.5676356,0.5575647,0.7209888,0.18753338,0.27962157,0.19356069,0.31540397,0.9785156,1.0,55.937195,0.0,98.82033,100.10883,0.0,110.00001,29.589844,1.0,122.36969,99.45128,475.5,544.5,2.46883,147.9375,0.0,144.9375,15.405237,73.99996,59.32007,1.0,44.45,59.40625,0.0,-26.467896,46.85669,15.434265,3.6767578,45.12,43.79,44.93,43.07,0
650798.5,-3.248977,0.91026366,0.44412744,0.46984586,100.72823,15.037586,14.121557,-0.21224065,199.99759,57.358646,25.399,0.0,5.039,20.761,28.885,0.0,99.99999,0.0,0.0,449.625,209.625,2044.0,0.0,-8.359375,0.11810303,112.15424,17114.178,17131.158,1100.0834,500.68918,32.025314,32.68235,0.0,2.287564,3.0,51.05591,29.143225,10.874986,11.624985,2.064,0.0,-23.757812,0.20947266,0.0,0.0,0.0,0.0,0.0,1.3671875,1.4453125,1.8164062,1.7578125,0.5718318,0.6128786,0.67933166,0.6408789,0.22575723,0.32837415,0.2665751,0.31723505,0.6925307,0.5676356,0.62294954,0.63851374,0.24040589,0.27962157,0.21629663,0.2793164,0.9824219,1.0,55.96466,0.0,99.26528,102.02437,0.0,110.00001,30.46875,1.0,122.85061,101.49105,475.5,544.5,2.287564,149.4375,0.0,151.0625,15.872062,73.99996,61.16333,1.0,44.63,62.84375,0.0,-10.662842,47.60742,31.867981,3.6767578,45.29,43.92,44.96,43.22,0
650798.5,-3.1791816,0.92660546,0.46636954,0.48743752,100.7274,15.037586,14.115559,0.14268067,200.07237,57.632748,25.399,0.0,5.039,20.761,28.885,0.0,99.99999,0.0,0.0,449.625,208.875,2053.0,0.0,-8.28125,0.12792969,112.7015,17055.803,17455.93,1100.0834,500.9545,40.418446,35.034973,0.0,2.2988012,3.0,55.926514,29.086044,10.499987,10.874986,2.06,0.0,-23.171875,0.21923828,0.0,0.0,0.0,0.0,0.0,1.3867188,1.4453125,1.8164062,1.7578125,0.57701993,0.61036086,0.67933166,0.6407263,0.22652018,0.32578012,0.2665751,0.31532767,0.6925307,0.56260014,0.7481499,0.63851374,0.24040589,0.27718014,0.25970855,0.2793164,0.9892578,1.0,56.036377,0.0,101.710884,103.86203,0.0,110.00001,31.347656,1.0,122.92523,103.323524,475.5,544.5,2.2988012,158.0,0.0,157.28125,16.805714,73.99996,62.023926,1.0,44.7,65.78125,0.0,-9.942627,49.16992,34.150696,3.6767578,45.44,44.0,45.02,43.52,0
