revision,tag,fuel,cylinder,onset_rpm,worst_rpm,worst_deg,airmass,lambda_sp,iat,carry_s
19,10_28_58,plain 92,4,3025.0,3025.0,-1.4999813,1554.0138,0.9501953,24.914982,0.92
9,22_47_44,plain 92,3,3068.0,3068.0,-2.6249673,900.5307,0.9375,31.912565,2.6
19,10_34_08,plain 92,2,3112.0,3112.0,-1.4999813,1488.3536,0.9404297,26.52208,0.72
19,10_28_58,plain 92,1,3114.0,3114.0,-1.4999813,1380.3221,0.9003906,24.89542,0.96
18,16_28_04,plain 92,1,3142.0,3142.0,-2.6249673,1383.4733999999999,0.9003906,41.362755,4.0
19,10_34_08,plain 92,1,3149.0,3149.0,-1.4999813,1432.1488,0.91308594,26.50145,0.72
9,22_46_45,plain 92,1,3258.0,3258.0,-2.6249673,913.69146,0.98535156,25.703947,2.68
17,12_30_30,plain 92,1,3380.0,3380.0,-2.6249673,1237.1126,0.87597656,33.251266,2.72
19,10_26_12,plain 92,1,4328.0,4328.0,-1.4999813,1559.1862999999998,0.84765625,21.405499,0.92
9,22_45_46,plain 92,4,4500.0,4500.0,-2.9999626,1462.169,0.8408203,28.179523,0.48
19,10_27_59,plain 92,1,4506.0,4506.0,-1.4999813,1508.8582,0.8408203,23.828762,0.6
17,12_34_25,plain 92,1,4507.0,4507.0,-2.9999626,1567.3256,0.7998047,24.812822,3.12
17,12_29_45,plain 92,4,4563.0,4563.0,-2.9999626,1511.2033000000001,0.8388672,25.148882,3.4
15,11_35_28,plain 92,1,4596.0,4596.0,-2.9999626,1464.7781,0.8017578,41.398376,3.88
15,11_40_04,plain 92,2,4751.0,4751.0,-2.9999626,1464.0664000000002,0.8125,41.78672,4.24
18,16_30_31,plain 92,4,4798.0,4798.0,-2.9999626,1468.016,0.7998047,37.52783,4.32
18,12_07_40,plain 92,4,4827.0,4827.0,-2.9999626,1499.1704,0.828125,25.136591,3.88
17,12_26_24,plain 92,1,4830.0,4830.0,-2.9999626,1507.7739,0.828125,23.229256,3.2800000000000002
17,12_32_53,plain 92,4,4973.0,4973.0,-2.9999626,1480.0196999999998,0.82128906,25.344374,3.3200000000000003
19,10_28_58,plain 92,4,5375.0,5375.0,-1.4999813,1428.6656,0.7998047,21.20943,0.88
19,10_28_58,plain 92,3,5376.0,5376.0,-1.4999813,1447.7979,0.7998047,23.697798,0.88
9,22_46_45,plain 92,1,5467.0,5467.0,-2.9999626,1382.1377,0.7998047,22.249584,2.52
14,12_07_51,plain 92,1,5545.0,5545.0,-2.9999626,1365.7336,0.7998047,23.431196,2.0
19,10_31_49,plain 92,1,5550.0,5550.0,-1.4999813,1367.577,0.7998047,22.612675,0.84
18,16_34_22,plain 92,1,5706.0,5706.0,-2.9999626,1279.3783,0.7998047,38.753365,3.16
18,16_37_04,plain 92,2,6084.0,6084.0,-2.9999626,1194.3895,0.7998047,37.595406,4.5200000000000005
19,10_27_59,plain 92,2,6158.0,6158.0,-1.4999813,1211.3994,0.7998047,21.05651,0.8
22,06_51_32,dosed,4,3028.0,3028.0,-1.4999813,1493.0015,0.9501953,26.34639,0.72
22,06_48_18,dosed,2,3140.0,3140.0,-1.4999813,1296.7767,0.88671875,27.041294,0.56
22,06_48_18,dosed,4,4559.0,4559.0,-1.4999813,1511.6571999999999,0.8388672,24.472607,0.88
22,06_50_21,dosed,1,4626.0,4626.0,-1.4999813,1507.3577,0.8359375,24.297184,0.92
22,06_51_32,dosed,1,5580.0,5580.0,-1.4999813,1359.6306,0.7998047,23.324074,0.88
22,06_51_32,dosed,2,6386.0,6386.0,-1.4999813,1169.3773,0.7998047,23.45122,0.84
