Name,Unit,Equation,Format,Address,Length,Signed,ProgMin,ProgMax,WarnMin,WarnMax,Smoothing,Enabled,Tabs,Assign To
Accel. Lat,m/s2,(x - 127) / 10,%01.2f,0xd000ee2a,1,false,-10.0,10.0,-1000.0,1000.0,0.8,true,DEFAULT|ROUND|8,accel_lat
Accel. Long,m/s2,(x - 512) / 32,%01.2f,0xd00141ba,2,false,-10.0,10.0,-1000.0,1000.0,0.4,true,,accel_long
Airmass,g/stk,x * 1000,%01.2f,0xd00097b4,4,false,0.0,2.0,-100.0,1000.0,0.0,true,AIRFLOW,airmass
Airmass SP,g/stk,x * 1000,%01.2f,0xd00097fc,4,false,0.0,2.0,-100.0,1000.0,0.0,true,AIRFLOW,airmass_sp
Ambient Press,kpa,x / 120.60176665,%01.2f,0xd0013c76,2,false,0.0,110.0,0.0,120.0,0.9,true,MISC,amb_press
Ambient Temp,°C,(x - 64) / 1.33,%01.2f,0xd000c177,1,false,-25.0,45.0,-100.0,100.0,0.9,true,MISC,amb_temp
Battery Volts,V,x / 51.2,%01.1f,0xd0015172,2,true,10.0,15.0,7.0,16.0,0.7,true,MISC,battery
Boost,psi,(map - amb_press) * 0.145077,%01.1f,0xffffffff,1,false,-15.0,35.0,-15.0,35.0,0.0,true,AIRFLOW.DEFAULT|ROUND|0,boost
Calc TQ,nm,tq,%01.0f,0xffffffff,1,false,0.0,550.0,-1000.0,1000.0,0.0,true,POWER,
Calc HP,hp,hp,%01.0f,0xffffffff,1,false,0.0,400.0,-1000.0,1000.0,0.0,true,POWER.DEFAULT|BAR_V|2,
Calc 0-60mph,s,speed_zero_sixty,%01.2f,0xffffffff,1,false,0.0,10.0,-1000.0,1000.0,0.0,true,POWER,
Calc 60-130mph,s,speed_sixty_onethirty,%01.2f,0xffffffff,1,false,0.0,15.0,-1000.0,1000.0,0.0,true,POWER,
Calc 0-60ft,s,dist_zero_sixty,%01.2f,0xffffffff,1,false,0.0,8.0,-1000.0,1000.0,0.0,true,POWER,
Calc 1/8mile,s,dist_emile,%01.2f,0xffffffff,1,false,0.0,12.0,-1000.0,1000.0,0.0,true,POWER,
Calc 1/4mile,s,dist_qmile,%01.2f,0xffffffff,1,false,0.0,25.0,-1000.0,1000.0,0.0,true,POWER,
Comb Mode,,x,%01.2f,0xd000c36e,1,false,-10.0,10.0,-100.0,100.0,0.0,true,,
Coolant Temp,°C,(x - 64) / 1.33,%01.0f,0xd000c6f5,1,false,-50.0,130.0,-100.0,150.0,0.8,true,MISC,coolant
Cruise,,x,%01.0f,0xd001b6cd,1,false,0.0,1.0,-1000.0,1000.0,0.0,true,,cruise
DV Position,%,x / 655.36,%01.1f,0xd0011db2,2,false,0.0,100.0,-1000.0,5000.0,0.0,true,,
EOI Actual,°,x / 2.6666666667,%01.0f,0xd0013982,2,false,0.0,720.0,-1000.0,1000.0,0.0,true,,
EOI Limit,°,x / 2.6666666667,%01.0f,0xd001397a,2,false,0.0,720.0,-1000.0,1000.0,0.0,true,,
Engine Speed,rpm,x,%01.0f,0xd0012400,2,false,0.0,8000.0,-1.0,7000.0,0.0,true,DEFAULT|ROUND|1.WG.FUEL.AIRFLOW.IGNITION.POWER,rpm
Eth Content,%,x / 2.55,%01.0f,0xd000c1d4,1,false,0.0,100.0,-100.0,100.0,0.0,true,,
Exh Cam Position,°,x / 128,%01.1f,0xd001566e,2,true,-45.0,45.0,-100.0,100.0,0.0,true,,
Exh Flow Factor,,x / 16384,%01.2f,0xd0011e04,2,false,0.0,1.5,-1.0,10.0,0.0,true,,
Exh Pres Desired,kpa,x / 120.60176665,%01.0f,0xd0011eba,2,false,0.0,500.0,-100.0,1000.0,0.0,true,,
FP DI,kpa,x / 1.884402603,%01.0f,0xd00136ac,2,false,0.0,28000.0,0.0,28000.0,0.0,true,FUEL,
FP DI SP,kpa,x / 1.8844026039,%01.0f,0xd0013640,2,false,0.0,28000.0,-1000.0,30000.0,0.0,true,FUEL,
FP MPI,kpa,x / 3.7688052079,%01.0f,0xd0011b26,2,false,0.0,1500.0,-1000.0,2000.0,0.0,true,FUEL,
FP MPI SP,kpa,x / 3.7688052079,%01.0f,0xd001360c,2,false,0.0,1500.0,-1000.0,2000.0,0.0,true,FUEL,
Fuel Flow,mg/stk,x / 47.181425486,%01.0f,0xd0013636,2,false,-100.0,100.0,-100.0,1000.0,0.0,true,FUEL,
Fuel Flow SP,mg/stk,x / 47.181425486,%01.0f,0xd00135e0,2,false,-100.0,100.0,-100.0,1000.0,0.0,true,FUEL,
Fuel Level,%,x / 2.55,%01.0f,0xd000dda1,1,false,1.0,255.0,0.0,255.0,0.0,false,,
Fuel Split MPI,,x / 128,%01.0f,0xd00192b1,1,false,-100.0,100.0,-100.0,100.0,0.0,true,FUEL,
Fuel Trim,%,stft + ltft,%01.1f,0xffffffff,1,false,-35.0,35.0,-1000.0,1000.0,0.0,true,FUEL.DEFAULT|ROUND,
Gear,gear,x,%01.0f,0xd000f39a,1,false,0.0,6.0,-1.0,7.0,0.0,true,,gear
HPFP Eff Vol,%,x / 655.35999999,%01.0f,0xd001363c,2,false,-100.0,100.0,-1000.0,1000.0,0.0,true,,
IAT,°C,(x - 64) / 1.33,%01.1f,0xd000c179,1,false,-50.0,70.0,-50.0,70.0,0.9,true,MISC.DEFAULT|BAR_V|3,iat
Ign Table,°,(x - 95) / 2.66667,%01.1f,0xd000e57e,1,false,-5.0,15.0,-100.0,100.0,0.0,true,IGNITION,
Ign Avg,°,(x - 95) / 2.66667,%01.1f,0xd000e59c,1,false,-5.0,15.0,-100.0,100.0,0.0,true,IGNITION,
Inj PW DI,ms,x / 250,%01.1f,0xd0013b16,2,false,-25.0,25.0,-1000.0,1000.0,0.0,true,FUEL,
Inj PW MPI,ms,x / 250,%01.1f,0xd0013824,2,false,0.0,100.0,-1000.0,1000.0,0.0,true,FUEL,
